Mediterranean Avenue
Baltic Avenue
Community Chest
Oriental Avenue
Vermont Avenue
Connecticut Avenue
chance
St Charles Place
States Avenue
Virginia Avenue
community Chest
St James Place
Tennessee Avenue
New York Avenue
chance
Kentucky Avenue
Indiana Avenue
Illinois Avenue
Parking
Atlantic Avenue
Ventnor Avenue
Marvin Gardens
community Chest
Pacific Avenue
North Carolina Avenue
Pennsylvania Avenue
chance
Park Place
Boadwalk
GO
Reading Railroad
Pennsylvania Railroad
B & O Railroad
Short Line Railroad
GTjail
Electric Company
Water Works
jail
Income Tax
Luxury Tax
